UEN	EMI	CompanyName	size_group	industry_code (M)	industry_desc (I)	SSIC2020
198202373D	6005837	CONCO AERO MAINTENANCE PTE LTD	(2) 25-99	C29-30	Transport Equipment	30301
198202381N	6005839	SEIHO MACHINERY & ELECTRIC CO. PTE. LTD.	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	28112
198202480W	6005845	EARN FATT LAUNDRY & DRYCLEANING PTE LTD	(0) E1	S,T,U	Other Community, Social & Personal Services	96011
198202491C	6005847	CHONG TONG CONSTRUCTION PTE. LTD.	(2) 25-99	F41-43	Construction	41009
198202498W	6005849	LIGNAR ENGINEERING PTE LTD	unknown	C25,28	Fabricated Metal Products & Machinery	28300
198202503D	6005853	TORAY INTERNATIONAL SINGAPORE PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46643
198202562H	6005863	NIKKO ASSET MANAGEMENT ASIA LIMITED	(3) 100-249	K64 & 66 (excl. 662)	Financial Services	66309
198202568N	6005867	BOARDROOM BUSINESS SOLUTIONS PTE. LTD.	(2) 25-99	M69-70	Legal, Accounting & Management Services	70201
198202644Z	6005871	CRYSTAL FREIGHT SERVICES PTE LTD	(1) 10-24	Hothers	Other Transport & Storage Services	52292
198202657E	6005873	HONG XING ENGINEERING & CONSTRUCTION PTE. LTD.	(2) 25-99	C29-30	Transport Equipment	30110
198202661M	6005875	PAN OCEAN TRANSPORT PTE. LTD.	(2) 25-99	H50,5222,5225	Water Transport & Supporting Services	52224
198202681W	6005879	TOBACCO NETWORK TRADERS PTE LTD	(1) 10-24	G46	Wholesale Trade	46308
198202706E	6005881	UNICO TRADING PTE LTD	(1) 10-24	G46	Wholesale Trade	46100
198202719K	6005883	GEOSPECS PTE LTD	(2) 25-99	F41-43	Construction	43121
198202790N	6005891	PETRACARBON PTE. LTD.	(2) 25-99	M71	Architectural & Engineering Services	71129
198202799M	6005893	UOB PROPERTY INVESTMENTS PTE. LTD.	(0) E1	K64 & 66 (excl. 662)	Financial Services	64202
198202804W	6005895	PRINCETON PHARMACY (S) PRIVATE LIMITED	(2) 25-99	G47	Retail Trade	47722
198202847C	6005901	HTL MANUFACTURING PTE LTD	(1) 10-24	G46	Wholesale Trade	46431
198202960E	6005909	DOU YEE ENTERPRISES (S) PTE LTD	(3) 100-249	G46	Wholesale Trade	46541
198202991N	6005911	SCHOTT SINGAPORE PTE. LTD.	(3) 100-249	Cothers	Other Manufacturing Industries	27902
198203197Z	6005921	JIA YING TRADING (PTE) LTD.	(1) 10-24	G46	Wholesale Trade	46521
198203228R	6005925	MEDI-RAD ASSOCIATES LTD	(3) 100-249	Q86-88	Health and Social Services	86902
198203232D	6005927	EASTERN PRETECH PTE LTD	(2) 25-99	F41-43	Construction	43904
198203320D	6005937	HONG SEH MOTORS PTE. LTD.	(2) 25-99	G47	Retail Trade	47311
198203330R	6005941	BCD TRAVEL SINGAPORE PTE. LTD.	(2) 25-99	N79	Travel & Tour Agencies	79102
198203364W	6005943	MAXSPID ENTERPRISE PTE LTD	(2) 25-99	Cothers	Other Manufacturing Industries	27501
198203384D	6005947	DIEBOLD NIXDORF SINGAPORE PTE. LTD.	(3) 100-249	G46	Wholesale Trade	46511
198203405G	6005951	VICTOR ENTERPRISES PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46610
198203439H	6005953	LUBRIZOL SOUTHEAST ASIA (PTE.) LTD	(3) 100-249	C19-21	Petroleum, Chemical & Pharmaceutical Products	20242
198203467E	9991669	RAINBOW INDUSTRIES (S) PTE. LTD.	unknown	Cothers	Other Manufacturing Industries	32901
198203572W	6005957	TULLETT PREBON (SINGAPORE) LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	66122
198203577M	6005959	POLLISUM ENGINEERING PTE. LTD.	(4) 250 & above	F41-43	Construction	41009
198203595R	6005961	KAMIGUMI SINGAPORE PTE. LTD.	(0) E1	Hothers	Other Transport & Storage Services	52292
198203631K	6005971	YU YEE ENGINEERING PTE LTD	(3) 100-249	F41-43	Construction	42101
198203648Z	6005973	HOCK SERVICES (PTE) LTD	(1) 10-24	N81	Cleaning and Landscaping	81211
198203654H	6005975	NYLECT ENGINEERING PTE LTD	(2) 25-99	F41-43	Construction	43220
198203677G	6005977	SB DEVELOPMENT PTE. LTD.	unknown	K64 & 66 (excl. 662)	Financial Services	64202
198203682E	6005979	PUMPQUIP ENGINEERING PTE. LTD.	(0) E1	C25,28	Fabricated Metal Products & Machinery	28300
198203686H	6005981	GLIDEROL DOORS (S) PTE. LTD.	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	25111
198203700R	6005983	YUNG SHUNG PRINTRADE PTE LTD	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18112
198203719G	6005985	TIONALE PTE. LTD.	(2) 25-99	G46	Wholesale Trade	47532
198203852R	6005993	TOTALENERGIES MARKETING ASIA-PACIFIC MIDDLE EAST PTE. LTD.	(4) 250 & above	C19-21	Petroleum, Chemical & Pharmaceutical Products	19209
198203884R	6005997	HYTECH BUILDERS PTE LTD	(2) 25-99	F41-43	Construction	41009
198203912Z	6005999	FUTURE ENTERPRISES PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46307
198203949N	6006001	LUM CHANG HOLDINGS LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
198203952K	6006003	AUTOMATION & COMPUTER ENGINEERING PTE. LTD.	unknown	C26	Electronic & Computer Products	26204
198203960C	6006005	NORTON ROSE FULBRIGHT SERVICES PTE. LIMITED	(1) 10-24	M69-70	Legal, Accounting & Management Services	70201
198203994D	6006009	YI HE FA ENTERPRISES PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46541
198204037E	6006013	UNIVA AROMATICS PTE LTD	(1) 10-24	C19-21	Petroleum, Chemical & Pharmaceutical Products	56111
198204061W	6006017	AIMIN ACUPUNCTURE & WEIGHT LOSS CENTRE PTE LTD	(2) 25-99	Q86-88	Health and Social Services	86202
198204243D	6006027	AURUM LAND (PRIVATE) LIMITED	(1) 10-24	L68	Real Estate Services	68101
198204256H	6006029	HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46511
198204305H	6006035	ALLIED CONTAINER (ENGINEERS & MANUFACTURERS) PTE LTD	(3) 100-249	Hothers	Other Transport & Storage Services	52241
198204309M	6006037	SIANG HOA JEWELLERY PTE. LTD.	(0) E1	Cothers	Other Manufacturing Industries	32111
198204367G	6006043	MEI HEONG YUEN FOOD INDUSTRIES PTE LTD	(2) 25-99	G46	Wholesale Trade	46900
198204457H	6006051	FLOTECH CONTROLS PTE LTD	(2) 25-99	C26	Electronic & Computer Products	26511
198204493R	6006059	FUJIMAK FOOD SERVICE EQUIPMENT (S) PTE. LTD.	(1) 10-24	C10-12	Food, Beverages & Tobacco	10765
198204507Z	6006061	PRIMESAFE SECURITY & INVESTIGATION PTE LTD	(2) 25-99	N80	Securities & Investigation	80100
198204580E	6006065	GRP PTE. LTD.	(0) E1	C17,18,22	Paper, Plastic Products & Printing	22199
198204582G	9991521	ACCENT INSURANCE AGENCIES PTE. LTD.	unknown	K65 & 662	Insurance Services	66221
198204607N	6006067	INTERTEK INDUSTRY SERVICES (S) PTE. LTD.	(1) 10-24	M71	Architectural & Engineering Services	41009
198204729R	6006075	CHEMOSCIENCE PTE LTD	(2) 25-99	G46	Wholesale Trade	46900
198204782R	6006081	GUAN CHUAN ENGINEERING CONSTRUCTION PTE LTD	(2) 25-99	F41-43	Construction	41009
198204786Z	6006083	ACCLAIM INSURANCE BROKERS PTE. LTD.	(2) 25-99	K65 & 662	Insurance Services	66221
198204843K	6006087	HEXACON CONSTRUCTION PTE LTD	(4) 250 & above	F41-43	Construction	41001
198204883C	6006089	UNIQUE HARDWARE CO. PTE LTD	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	28112
198204959D	6006091	HOMAG ASIA PTE LTD	(1) 10-24	G46	Wholesale Trade	46541
198204963K	6006093	MASONRY PTE. LTD.	(1) 10-24	F41-43	Construction	43210
198204973D	6006097	STA INSPECTION PTE LTD	(2) 25-99	S,T,U	Other Community, Social & Personal Services	95303
198205028Z	6006101	DP DESIGN PTE LTD	(2) 25-99	M72-75	Other Professional Services	74191
198205049R	6006103	INTERNATIONAL PAINT SINGAPORE PTE. LTD.	(3) 100-249	C19-21	Petroleum, Chemical & Pharmaceutical Products	20221
198205085D	6006105	SEAWAVES FROZEN FOOD PTE. LTD.	(2) 25-99	C10-12	Food, Beverages & Tobacco	10799
198205162Z	6006117	BACHY SOLETANCHE SINGAPORE PTE. LTD.	(4) 250 & above	F41-43	Construction	43901
198205172M	6006121	ERECT GROUP (SINGAPORE) PTE. LTD.	(3) 100-249	G46	Wholesale Trade	46542
198205229Z	6006125	KYOWA SECURITY GUARD & GENERAL SERVICES PTE LTD	(3) 100-249	N80	Securities & Investigation	80100
198205240G	6006127	BOON KOON HARDWARE PTE. LTD.	(1) 10-24	G47	Retail Trade	47522
198205243Z	6006129	KNIGHT FRANK PTE LTD	(3) 100-249	L68	Real Estate Services	68201
198205247D	6006131	ELECTRO-ACOUSTICS SYSTEMS PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46436
198205400E	6006143	TOLL GLOBAL FORWARDING (SINGAPORE) PTE. LIMITED	(2) 25-99	N82	Office Administrative and Business Support	82999
198205441G	6006147	PINKERTON (SINGAPORE) PTE LTD	(2) 25-99	N80	Securities & Investigation	80200
198205462D	6006149	SSC SHIP MANAGEMENT PTE LTD	(1) 10-24	H50,5222,5225	Water Transport & Supporting Services	52226
198205477K	6006151	KORI CONSTRUCTION (S) PTE. LTD.	(2) 25-99	F41-43	Construction	41009
198205525Z	6006155	CAUSEWAY PAINTS PTE LTD	(1) 10-24	G46	Wholesale Trade	46634
198205531H	6006157	GOH SIN HUAT ELECTRICAL PTE. LTD.	(2) 25-99	F41-43	Construction	43220
198205536D	6006159	CONVERGENT SYSTEMS (S) PRIVATE LIMITED	(2) 25-99	G46	Wholesale Trade	46511
198205540K	6006161	CHIN HUAT LIVE SEAFOOD PTE LTD	(2) 25-99	I56	Food and Beverage Services	56111
198300042C	6006165	APP ENGINEERING PTE LTD	(4) 250 & above	F41-43	Construction	43220
198300085E	6006169	PEOPLE BEE HOON FACTORY PTE. LTD.	(2) 25-99	C10-12	Food, Beverages & Tobacco	10799
198300096H	6006171	ACCESS SYSTEMS TECHNOLOGY PTE LTD	(2) 25-99	N77	Rental & Leasing	77330
198300109C	6006177	DOKOTA PTE LTD	unknown	F41-43	Construction	41009
198300116C	6006179	EBARA ENGINEERING SINGAPORE PTE. LTD.	(3) 100-249	F41-43	Construction	42909
198300123C	6006181	GENERAL LABELS & LABELLING PTE LTD	unknown	C26	Electronic & Computer Products	26203
198300188M	6006185	GOLDEN SINGA ENGINEERING (S'PORE) PTE LTD	(2) 25-99	F41-43	Construction	43210
198300201H	6006189	G. G. FRESH FLOWER PTE LTD	(2) 25-99	G46	Wholesale Trade	46211
198300285N	6006195	SUNGEI EMAS PTE. LTD.	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	25111
198300340D	6006203	KNIGHT FRANK ASIA PACIFIC PTE LTD	(1) 10-24	L68	Real Estate Services	68201
198300369G	6006207	SHINCON INDUSTRIAL PTE. LTD.	(3) 100-249	F41-43	Construction	42101
198300402H	6006209	GOODRICH GLOBAL PTE. LTD.	(3) 100-249	G46	Wholesale Trade	46432
198300474Z	6006213	IBL TRADING PTE LTD	(0) E1	G46	Wholesale Trade	46422
198300486N	6006215	HI-TEK CONSTRUCTION PTE. LTD.	(3) 100-249	F41-43	Construction	41001
198300529E	6006219	JIM-MIKE CLEANING SERVICES PTE. LTD.	(2) 25-99	L68	Real Estate Services	68209
198300538G	6006221	ITE ELECTRIC SYSTEMS CO PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46435
198300550E	6006225	NGAI HENG PTE. LTD.	(2) 25-99	C17,18,22	Paper, Plastic Products & Printing	18113
198300653M	6006233	COLLYER SHIPPING PTE LTD	(2) 25-99	H50,5222,5225	Water Transport & Supporting Services	50021
198300677C	6006235	ASIATIC AGRICULTURAL INDUSTRIES PTE LTD	(2) 25-99	G46	Wholesale Trade	46900
198300817N	6006249	R.A.K. MATERIALS CONSULTANTS PTE LTD	(2) 25-99	M71	Architectural & Engineering Services	71200
198300856N	6006253	KC & WATSON (FAR EAST) PTE LTD	(2) 25-99	G46	Wholesale Trade	46900
198300919K	6006261	EDELMAN SINGAPORE PTE. LTD.	(3) 100-249	M72-75	Other Professional Services	73100
198300924H	6006263	ANCHOR CLEANING AGENCY PTE. LTD.	(4) 250 & above	N81	Cleaning and Landscaping	81299
198300946R	6006267	CHOO BUILDING MATERIALS CO. PTE. LTD.	(1) 10-24	G46	Wholesale Trade	46900
198300964Z	6006271	DIGIPHONIC SYSTEMS PTE. LTD.	unknown	C26	Electronic & Computer Products	26301
198301050H	6006275	GENERAL MILLS SINGAPORE PTE. LTD.	(1) 10-24	N82	Office Administrative and Business Support	82199
198301086M	6006279	TALARIAX PTE LTD	unknown	J58-61	Telecommunications, Broadcasting & Publishing	61012
198301089E	6006281	KOPPERN (F.E.) PTE LTD	(1) 10-24	F41-43	Construction	80100
198301096E	6006283	ATOS INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.	(3) 100-249	J62-63	IT & Other Information Services	62011
198301135M	6006287	APP COMMERCIAL PTE. LTD.	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	17010
198301167M	6006293	FOOD & NUTRITION SPECIALISTS PTE LTD	(1) 10-24	M69-70	Legal, Accounting & Management Services	70209
198301216M	6006295	YI SHI YUAN PTE LTD	(2) 25-99	C19-21	Petroleum, Chemical & Pharmaceutical Products	21022
198301242G	6006297	TOWN4KIDS PTE LTD	(1) 10-24	O84,P85	Public Administration and Education	85408
198301243W	6006299	SUBWELD ENGINEERING & FABRICATION PTE. LTD.	(2) 25-99	F41-43	Construction	41001
198301272E	6006303	GEA PROCESS ENGINEERING PTE. LTD.	(3) 100-249	G46	Wholesale Trade	46541
198301309G	6006305	MORRISON EXPRESS LOGISTICS PTE LTD	(3) 100-249	Hothers	Other Transport & Storage Services	52292
198301332H	6006309	TRANSPORT MACHINERY PTE. LTD.	(1) 10-24	G47	Retail Trade	47314
198301412W	6006321	GLENDALE ELECTRONIC COMPONENTS PTE. LTD.	(2) 25-99	C26	Electronic & Computer Products	26129
198301413H	6006323	KINOKUNIYA BOOK STORES OF SINGAPORE PTE LTD	(3) 100-249	G47	Retail Trade	47610
198301430C	6006327	TEMBUSU INSTITUTE PTE. LTD.	(1) 10-24	O84,P85	Public Administration and Education	85409
198301448C	6117461	COSMOPOLIS HOLDINGS PTE. LTD.	(2) 25-99	I56	Food and Beverage Services	56111
198301458N	6006331	EUROKARS PRE-OWNED PTE. LTD.	(2) 25-99	G47	Retail Trade	47311
198301539N	6006339	MADRAS NEW WOODLANDS RESTAURANT PTE. LTD.	(2) 25-99	I56	Food and Beverage Services	56111
198301650R	6006349	AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD	(3) 100-249	F41-43	Construction	41009
198301669G	6006355	ENG SOON DRY BEAN CURD MANUFACTURING PTE LTD	(2) 25-99	C10-12	Food, Beverages & Tobacco	10792
198301706M	6006361	HONG AIK PROPERTY PTE LTD	(0) E1	L68	Real Estate Services	68101
198301769C	6006363	KPMG ADVISORY SERVICES PTE. LTD.	(2) 25-99	M69-70	Legal, Accounting & Management Services	70201
198301785D	6006365	LAGUNA HOTEL HOLDINGS PTE. LTD.	(4) 250 & above	I55	Accommodation	55101
198301856K	6006377	SCAN - BILT PTE LTD	(3) 100-249	F41-43	Construction	41009
198301901G	6006379	KIM TIONG ENTERPRISES PTE. LTD.	(1) 10-24	G46	Wholesale Trade	46661
198301911Z	6006383	FAGERDALA SINGAPORE PTE LTD	(2) 25-99	G46	Wholesale Trade	46472
198301940G	6006385	INTEGRAL POWERLIFT PTE LTD	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	28161
198301985M	6006391	PROSTAR CONTRACT SERVICES PTE. LTD.	(2) 25-99	F41-43	Construction	41009
198302020G	6116762	GENTECH INTERNATIONAL PTE LTD	(2) 25-99	M69-70	Legal, Accounting & Management Services	70201
198302042N	6006393	WATERLINE STEVEDORING SERVICES PTE LTD	(1) 10-24	Hothers	Other Transport & Storage Services	52292
198302078W	6006395	KAEFER PROSTAR PTE. LTD.	(3) 100-249	M71	Architectural & Engineering Services	71122
198302111Z	6006401	DUNDEE MARINE & INDUSTRIAL SERVICES PTE LTD	(2) 25-99	C29-30	Transport Equipment	30110
198302133G	6006405	ALL EIGHTS (SINGAPORE) PRIVATE LIMITED	(1) 10-24	G46	Wholesale Trade	46900
198302175Z	6006409	TOP PARKING PTE LTD	(2) 25-99	H49,5221	Land Transport & Supporting Services	52211
198302229N	6006411	MERIT MEDICAL SINGAPORE PTE. LTD.	(3) 100-249	C19-21	Petroleum, Chemical & Pharmaceutical Products	21022
198302251E	6006415	PARKWAY LABORATORY SERVICES LTD.	(4) 250 & above	Q86-88	Health and Social Services	86901
198302276E	6006421	BOON MENG EQUIPMENT PTE LTD	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	28300
198302352K	6006431	INDUSTRIAL PLUMBING CO. PTE. LTD.	unknown	F41-43	Construction	43220
198302426K	6006435	CHARTWORTH ENTERPRISE SINGAPORE PTE. LTD.	(3) 100-249	F41-43	Construction	41001
198302435M	6006437	UNISTREAM ENGINEERING (S) PTE LTD	(1) 10-24	G46	Wholesale Trade	46541
198302489Z	6006441	ERECON CONSTRUCTION CO PTE LTD	(2) 25-99	F41-43	Construction	41009
198302527R	6006447	POLYSTONE (SINGAPORE) PTE LTD	(2) 25-99	Cothers	Other Manufacturing Industries	23960
198302550W	6006449	VMD PTE. LTD.	(1) 10-24	C29-30	Transport Equipment	29200
198302553K	6006451	YAMATO TRANSPORT (S) PTE. LTD.	(3) 100-249	H50,5222,5225	Water Transport & Supporting Services	52222
198302602K	6006455	THIAN SUNG CONSTRUCTION PTE. LTD.	(2) 25-99	F41-43	Construction	41009
198302639E	6006459	CHIN KIONG CONSTRUCTION & ENGINEERING PTE LTD	(2) 25-99	F41-43	Construction	41009
198302723C	6006465	NYK GROUP SOUTH ASIA PTE. LTD.	(2) 25-99	M69-70	Legal, Accounting & Management Services	70101
198302829C	6006481	INGRAM MICRO ASIA PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46522
198302859Z	6006485	TECH DATA DISTRIBUTION (SINGAPORE) PTE. LTD.	(3) 100-249	G46	Wholesale Trade	46511
198302984W	6006495	SANTARLI CONSTRUCTION PTE. LTD.	(4) 250 & above	F41-43	Construction	41009
198303026H	6006501	FAR EAST DISTILLERS PTE LTD	(1) 10-24	C10-12	Food, Beverages & Tobacco	11010
198303042K	6006503	KILOWATTS ENGINEERING AND CONSTRUCTION PTE LTD	(2) 25-99	F41-43	Construction	41009
198303167E	6006513	SAVINO DEL BENE (S) PTE LTD	(2) 25-99	H50,5222,5225	Water Transport & Supporting Services	52222
198303198N	6006517	ROTORK CONTROLS (SINGAPORE) PTE LTD	(2) 25-99	N82	Office Administrative and Business Support	82999
198303327D	6006523	MEDOCHEMIE SINGAPORE PTE. LTD.	(1) 10-24	C19-21	Petroleum, Chemical & Pharmaceutical Products	43210
198303333M	6006525	KOYO ENGINEERING (S.E. ASIA) PTE. LTD.	(3) 100-249	F41-43	Construction	41009
198303359D	6006527	CREATIVE TECHNOLOGY LTD.	(2) 25-99	N82	Office Administrative and Business Support	82999
198303361H	6006529	AVS TECHNOLOGIES PTE LTD	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18119
198303427W	6006537	SINGAPORE SAFETY DRIVING CENTRE LTD	(4) 250 & above	O84,P85	Public Administration and Education	85406
198303469K	6006541	BEST GLOBAL LOGISTICS (SIN) PTE. LTD.	(2) 25-99	Hothers	Other Transport & Storage Services	52292
198303518K	6006547	LIANG CHEW HARDWARE PTE LTD	(2) 25-99	G46	Wholesale Trade	46639
198303544E	6006551	HARCO ENGINEERING PTE LTD	(1) 10-24	F41-43	Construction	41009
198303588Z	9990895	ISLAND HORTI-TECH HOLDINGS PTE. LTD.	unknown	K64 & 66 (excl. 662)	Financial Services	64201
198303641G	6006557	SUNSHING MARKETING PTE LTD	(1) 10-24	G46	Wholesale Trade	46459
198303657E	6006559	SIONG HUA SUPPLIER PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46639
198303683Z	6006565	ALAN KOH TRADING CO. PTE. LTD.	(1) 10-24	F41-43	Construction	41009
198303690Z	6006567	YEAKIN PLASTIC INDUSTRY PTE LTD	(1) 10-24	C19-21	Petroleum, Chemical & Pharmaceutical Products	20132
198303718Z	6006571	BOON POH REFUSE DISPOSAL PTE. LTD.	(2) 25-99	A,B,D,E,V	Others	37000
198303746R	6006573	PRIME CORPORATION ENTERPRISE PTE. LTD.	(0) E1	F41-43	Construction	41009
198303792R	6006577	SAYBOLT (SINGAPORE) PTE. LTD.	(4) 250 & above	M71	Architectural & Engineering Services	71200
198303875W	6006583	JASMINE ENGINEERING PTE. LTD.	(1) 10-24	F41-43	Construction	25114
198303925H	6006589	MCKEESON CONSULTANTS PRIVATE LIMITED	unknown	M69-70	Legal, Accounting & Management Services	70201
198303940Z	6006599	NOEL GIFTS INTERNATIONAL LTD.	(0) E1	G47	Retail Trade	47749
198303962G	6006605	HIGHNESS ELECTRICAL ENGINEERING PTE. LTD.	(2) 25-99	F41-43	Construction	43210
198304028G	6006613	AQUA-CHEMICALS (S) PTE. LTD.	(2) 25-99	Cothers	Other Manufacturing Industries	27501
198304034R	6006615	TTS WINDOW FASHIONS PTE LTD	(0) E1	Cothers	Other Manufacturing Industries	31003
198304042G	6006617	NBC MARKETING SINGAPORE PTE LTD	unknown	G46	Wholesale Trade	46474
198304054C	6006619	SERVICEBUILD CONSTRUCTION & ELECTRICAL PTE LTD	(2) 25-99	F41-43	Construction	41009
198304071N	6006621	BAN CHOON MARKETING PTE LTD	(3) 100-249	C10-12	Food, Beverages & Tobacco	10799
198304108R	6006627	ASSET CORPORATION PTE LTD	(1) 10-24	F41-43	Construction	41009
198304130G	6006633	INDECO ENGINEERS (PTE) LTD	(4) 250 & above	M71	Architectural & Engineering Services	71129
198304180K	6006639	NTT SINGAPORE SOLUTIONS PTE. LTD.	unknown	J62-63	IT & Other Information Services	62021
198304190D	6006641	SPORTS FASHION PTE LTD	(4) 250 & above	G46	Wholesale Trade	46441
198304191N	6006643	OSIM INTERNATIONAL PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46441
198304256M	9990821	SAPPHIRE WINDOWS PTE. LTD.	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	25111
198304321N	6006649	HONG HOCK HARDWARE PTE LTD	unknown	G46	Wholesale Trade	46900
198304348R	6006655	SINGHAIYI HOLDINGS PTE. LTD.	(2) 25-99	L68	Real Estate Services	68101
198304450R	6006665	DELTEQ PTE LTD	(1) 10-24	G47	Retail Trade	47412
198304570R	6006673	BEAUTEX INTERIOR PTE LTD	(2) 25-99	Cothers	Other Manufacturing Industries	31001
198304599Z	6006681	PILOT PEN (S) PTE LTD	(2) 25-99	G46	Wholesale Trade	46473
198304615H	6006683	HENKEL SINGAPORE PTE LTD	(3) 100-249	G46	Wholesale Trade	46641
198304643E	9990773	ABV ENGINEERING PTE LTD	unknown	F41-43	Construction	41009
198304651R	9990771	ASSESS ENTERPRISE ENGRG PTE LTD	(0) E1	G46	Wholesale Trade	46632
198304691G	6006689	SINGAPORE RIVER CRUISE PTE. LTD.	(2) 25-99	H50,5222,5225	Water Transport & Supporting Services	50012
198304720C	6006693	CHERN SENG ENGINEERING PTE LTD	(2) 25-99	F41-43	Construction	41001
198304722D	6006695	NISSIN TRANSPORT (S) PTE LTD	(2) 25-99	Hothers	Other Transport & Storage Services	52292
198304731E	6006697	KEONG HONG CONSTRUCTION PTE LTD	(4) 250 & above	F41-43	Construction	41001
198304732R	6006699	MILLIONBUILT PTE LTD	(2) 25-99	F41-43	Construction	41009
198304837E	6006705	SILVERLAKE SYMMETRI (SINGAPORE) PTE. LTD.	(1) 10-24	J62-63	IT & Other Information Services	62011
198304868N	6006709	JOLLY LAND PTE. LTD.	(2) 25-99	G47	Retail Trade	47711
198304925E	6006713	SHENG SIONG SUPERMARKET PTE LTD	(4) 250 & above	N82	Office Administrative and Business Support	82999
198304954M	6006715	SANTAK METAL MANUFACTURING PTE LTD	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	25111
198304960C	6006717	KWAN YONG ELECTRICAL ENGINEERING PTE LTD	(1) 10-24	F41-43	Construction	43210
198304992C	6006719	IPP FINANCIAL ADVISERS PTE. LTD.	(3) 100-249	K64 & 66 (excl. 662)	Financial Services	64201
198305061W	6006725	DELUGE FIRE PROTECTION (S.E.A.) PTE LTD	(4) 250 & above	F41-43	Construction	41009
198305089K	6006727	KONG GUAN DUMPLING/PAU MFR. PTE. LTD.	(2) 25-99	C10-12	Food, Beverages & Tobacco	10750
198305095Z	6006729	SHS SYSTEM PTE LTD	(0) E1	F41-43	Construction	41009
198305135W	6006731	CANDID MARINE ENGINEERING PTE. LTD.	(2) 25-99	C29-30	Transport Equipment	30110
198305163N	6006733	SHANGHAI CHONG KEE FURNITURE & CONSTRUCTION PTE LTD	unknown	M71	Architectural & Engineering Services	71121
198305332N	6006743	MILLION LIGHTING CO PTE LTD	(2) 25-99	F41-43	Construction	41009
198305350W	6006749	SANMINA-SCI SYSTEMS SINGAPORE PTE. LTD.	(4) 250 & above	C26	Electronic & Computer Products	26123
198305350W	6006751	SANMINA-SCI SYSTEMS SINGAPORE PTE. LTD.	(4) 250 & above	C26	Electronic & Computer Products	26123
198305357N	6006753	AGE D'OR PTE LTD	(2) 25-99	C19-21	Petroleum, Chemical & Pharmaceutical Products	21022
198305358E	6006755	GDS ENGINEERING PTE LTD	(3) 100-249	C25,28	Fabricated Metal Products & Machinery	28300
198305394M	6006765	MECH-POWER GENERATOR PTE LTD	(2) 25-99	G46	Wholesale Trade	46549
198305397E	6006767	PROSPECT PROTECTION PTE. LTD.	(3) 100-249	N80	Securities & Investigation	80200
198305426Z	6006771	AIK LEE KIM PTE LTD	(1) 10-24	F41-43	Construction	41009
198305474C	6006781	NILFISK PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46541
198305487G	6006783	MS VENTURE PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46900
198305509C	6006787	HEE'S ENGINEERING & EQUIPMENT CO. (PTE) LTD	(2) 25-99	M71	Architectural & Engineering Services	71129
198305521Z	6006789	LUXURY VENTURES PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46900
198305531M	6006791	INDON SHIPPING PTE LTD	(3) 100-249	H50,5222,5225	Water Transport & Supporting Services	52224
198305625W	6006801	SING BROTHERS HARDWARE PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46632
198305635K	6006803	YONG LEE SENG MOTOR PTE. LTD.	unknown	G47	Retail Trade	47311
198305650C	9990623	SINGLAND MANAGEMENT SERVICES PTE. LTD.	(3) 100-249	L68	Real Estate Services	68203
198305695G	6006811	PHILLIP NOVA PTE. LTD.	(3) 100-249	K64 & 66 (excl. 662)	Financial Services	66122
198305711R	6006813	JOS (SG) PTE. LTD.	(2) 25-99	J62-63	IT & Other Information Services	62021
198305727N	6006817	SKS ENGINEERING & TRADING PTE. LTD.	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	28169
198305738W	6006819	SANTA FE RELOCATION SERVICES (S) PTE. LTD.	(2) 25-99	S,T,U	Other Community, Social & Personal Services	96099
198305749C	6006823	DANFOSS SINGAPORE PTE. LTD.	unknown	G46	Wholesale Trade	46543
